Div,commence,HomeTeam,AwayTeam,collected_at,market,side,book,odds_bet,fair_p,pinnacle_odds,ev_pre
MLB,2026-07-07T01:41:00Z,San Diego Padres,Arizona Diamondbacks,2026-07-06T19:55,h2h,A,unibet_fr,1.99,0.4687,2.09,-0.0673
MLB,2026-07-07T01:41:00Z,San Diego Padres,Arizona Diamondbacks,2026-07-06T19:55,h2h,H,betclic_fr,1.78,0.5313,1.85,-0.0543
MLB,2026-07-07T01:41:00Z,San Diego Padres,Arizona Diamondbacks,2026-07-06T19:55,h2h,A,betclic_fr,2.01,0.4687,2.09,-0.0579
MLB,2026-07-07T01:41:00Z,San Diego Padres,Arizona Diamondbacks,2026-07-06T19:55,h2h,H,winamax_fr,1.78,0.5313,1.85,-0.0543
MLB,2026-07-07T01:41:00Z,San Diego Padres,Arizona Diamondbacks,2026-07-06T19:55,h2h,A,winamax_fr,2.0,0.4687,2.09,-0.0626
MLB,2026-07-07T01:46:00Z,San Francisco Giants,Toronto Blue Jays,2026-07-06T19:55,h2h,H,unibet_fr,1.89,0.5026,1.95,-0.05
MLB,2026-07-07T01:46:00Z,San Francisco Giants,Toronto Blue Jays,2026-07-06T19:55,h2h,A,unibet_fr,1.85,0.4974,1.97,-0.0799
MLB,2026-07-07T01:46:00Z,San Francisco Giants,Toronto Blue Jays,2026-07-06T19:55,h2h,H,betclic_fr,1.91,0.5026,1.95,-0.04
MLB,2026-07-07T01:46:00Z,San Francisco Giants,Toronto Blue Jays,2026-07-06T19:55,h2h,A,betclic_fr,1.87,0.4974,1.97,-0.0699
MLB,2026-07-07T01:46:00Z,San Francisco Giants,Toronto Blue Jays,2026-07-06T19:55,h2h,H,winamax_fr,1.9,0.5026,1.95,-0.045
MLB,2026-07-07T01:46:00Z,San Francisco Giants,Toronto Blue Jays,2026-07-06T19:55,h2h,A,winamax_fr,1.86,0.4974,1.97,-0.0749
MLB,2026-07-08T02:11:00Z,Los Angeles Dodgers,Colorado Rockies,2026-07-06T19:55,h2h,H,unibet_fr,1.41,0.681,1.45,-0.0397
MLB,2026-07-08T02:11:00Z,Los Angeles Dodgers,Colorado Rockies,2026-07-06T19:55,h2h,A,unibet_fr,2.75,0.319,3.02,-0.1228
MLB,2026-07-08T02:11:00Z,Los Angeles Dodgers,Colorado Rockies,2026-07-06T19:55,h2h,H,betclic_fr,1.42,0.681,1.45,-0.0329
MLB,2026-07-08T02:11:00Z,Los Angeles Dodgers,Colorado Rockies,2026-07-06T19:55,h2h,A,betclic_fr,2.8,0.319,3.02,-0.1069
MLB,2026-07-08T02:11:00Z,Los Angeles Dodgers,Colorado Rockies,2026-07-06T19:55,h2h,H,winamax_fr,1.41,0.681,1.45,-0.0397
MLB,2026-07-08T02:11:00Z,Los Angeles Dodgers,Colorado Rockies,2026-07-06T19:55,h2h,A,winamax_fr,2.8,0.319,3.02,-0.1069
